Emissor,RatingGrupo,TradingDesk,pl_emissor,PL
COPEL  DISTRIBUICAO S/A,Baa3,348,41.93726817169503,9225719.601444999
ENERGISA SA,Baa3,PDA,633.9369776932593,1172652382.054455
CEMIG DISTRIBUICAO S/A,Baa4,KCP,4.035492776893078e-06,3424900701.5180855
CEMIG DISTRIBUICAO S/A,Baa4,678,-1.9335871911607684e-06,6318358039.8425455
ENGIE BRASIL ENERGIA SA,Baa1,134,198016.48417024157,7003331463.740895
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,APP,1878204.3945215498,8430325498.580385
VLI MULTIMODAL S.A.,Baa4,PAL,1661.1603890520068,18720368.46087
ENERGISA SA,Baa3,APP,4348.707760322085,8430325498.580385
ENGIE BRASIL ENERGIA SA,Baa1,PEM,10.161775718967121,4500317.361375
MRS LOGISTICA S/A,Baa3,348,208.15824615035692,9225719.601444999
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,KAT,1042445.2874774707,3004467197.6176753
ENERGISA SA,Baa3,RFA,5731.310204043481,6165720738.95119
COPEL  DISTRIBUICAO S/A,Baa3,RFA,21769.446938625413,6165720738.95119
VLI MULTIMODAL S.A.,Baa4,KOP,332232.0778104014,733760002.8074601
ENGIE BRASIL ENERGIA SA,Baa1,KCP,59752.11806492625,3424900701.5180855
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,RFA,31854.817114260422,6165720738.95119
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,IRF,4971426.591947604,168954523.486945
ENERGISA SA,Baa3,PEM,2.6607063691672863,4500317.361375
ENGIE BRASIL ENERGIA SA,Baa1,APO,6310.217240473767,2279627646.384785
VLI MULTIMODAL S.A.,Baa4,RFA,202764.66104257776,6165720738.95119
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,PDA,12192.621300392806,1172652382.054455
MRS LOGISTICA S/A,Baa3,PID,27221.864677912345,3937179801.4903502
JSL S.A,Ba5,846,1333010.881132689,3130395619.174485
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,RFA,681238.4845265826,6165720738.95119
JSL S.A,Ba5,CPI,3426.645142360145,54355074.65991
ENGIE BRASIL ENERGIA SA,Baa1,846,50648.45894329874,3130395619.174485
COPEL  DISTRIBUICAO S/A,Baa3,134,266086.0301183796,7003331463.740895
MRS LOGISTICA S/A,Baa3,RFA,21174.37258479533,6165720738.95119
ENERGISA SA,Baa3,846,133461.6041519729,3130395619.174485
ENERGISA SA,Baa3,FRA,3436.409710404083,78590201.440485
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,134,1745555.6966131215,7003331463.740895
CEMIG DISTRIBUICAO S/A,Baa4,RFA,-3.3628242163104007e-06,6165720738.95119
VLI MULTIMODAL S.A.,Baa4,846,1089048.3603154526,3130395619.174485
JSL S.A,Ba5,RFA,5294.570875250354,6165720738.95119
COPEL  DISTRIBUICAO S/A,Baa3,678,254975.8246218171,6318358039.8425455
MRS LOGISTICA S/A,Baa3,PAL,3993.6268539452253,18720368.46087
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,APO,270292.77515396336,2279627646.384785
MRS LOGISTICA S/A,Baa3,134,1160296.9357828062,7003331463.740895
COPEL  DISTRIBUICAO S/A,Baa3,846,67877.51123799432,3130395619.174485
COPEL  DISTRIBUICAO S/A,Baa3,IRF,5181104.463014501,168954523.486945
VLI MULTIMODAL S.A.,Baa4,652,74752.21750734013,2496049914.0221553
JSL S.A,Ba5,FRA,20559.87085416087,78590201.440485
CALDEIRAO GRANDE ENERGIAS RENOVAVEIS S/A,Baa4,KOP,33454.85098458082,733760002.8074601
COPEL  DISTRIBUICAO S/A,Baa3,PDA,3244.7288899542486,1172652382.054455
ENERGISA SA,Baa3,134,484434.6970038941,7003331463.740895
JSL S.A,Ba5,PID,68127.86054145658,3937179801.4903502
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,846,516161.57577905676,3130395619.174485
ENERGISA SA,Baa3,APO,1652.2343797865312,2279627646.384785
COPEL  DISTRIBUICAO S/A,Baa3,KCP,80077.95597326107,3424900701.5180855
MRS LOGISTICA S/A,Baa3,PDA,8104.617435843141,1172652382.054455
ENGIE BRASIL ENERGIA SA,Baa1,IRF,4945517.535674308,168954523.486945
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,BVP,28848111.30724326,1191376868.3027952
COPEL  DISTRIBUICAO S/A,Baa3,PEM,13.618500146712856,4500317.361375
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,678,1750161.0350688957,6318358039.8425455
CEMIG DISTRIBUICAO S/A,Baa4,846,-4.6941471518948676e-06,3130395619.174485
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,APO,12638.932055958316,2279627646.384785
CEMIG DISTRIBUICAO S/A,Baa4,ID2,-3.1106553069548683e-06,3488179932.21023
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,FRA,716064.5468398083,78590201.440485
MRS LOGISTICA S/A,Baa3,846,343100.30663675256,3130395619.174485
CEMIG DISTRIBUICAO S/A,Baa4,134,1.1014186777174473e-05,7003331463.740895
ENGIE BRASIL ENERGIA SA,Baa1,PDA,2421.1335237622898,1172652382.054455
MRS LOGISTICA S/A,Baa3,APP,58378.67434579358,8430325498.580385
VLI MULTIMODAL S.A.,Baa4,KCP,85753.76536262778,3424900701.5180855
JSL S.A,Ba5,PAL,9056.909236127252,18720368.46087
JSL S.A,Ba5,BVP,1243015.5253911428,1191376868.3027952
VLI MULTIMODAL S.A.,Baa4,348,672.8549026637173,9225719.601444999
ENERGISA SA,Baa3,KAT,9450.126703611228,3004467197.6176753
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,KCP,28069614.441659696,3424900701.5180855
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,CPI,1112919.0100210155,54355074.65991
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,PEM,61110.95465830692,4500317.361375
ENGIE BRASIL ENERGIA SA,Baa1,ID2,10188.493601564012,3488179932.21023
CEMIG DISTRIBUICAO S/A,Baa4,APP,-1.5973949048202486e-06,8430325498.580385
JSL S.A,Ba5,652,25699.838567701652,2496049914.0221553
COPEL  DISTRIBUICAO S/A,Baa3,PAL,870.1002453889195,18720368.46087
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,PAL,6008.029401842809,18720368.46087
JSL S.A,Ba5,KAT,71959.54798956304,3004467197.6176753
JSL S.A,Ba5,PDA,19311.695657846758,1172652382.054455
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,PAL,128486.08830562893,18720368.46087
CALDEIRAO GRANDE ENERGIAS RENOVAVEIS S/A,Baa4,348,0.8819427453463474,9225719.601444999
VLI MULTIMODAL S.A.,Baa4,ID2,117111.80742816649,3488179932.21023
ENGIE BRASIL ENERGIA SA,Baa1,PAL,649.2464993507101,18720368.46087
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,348,313.15417233808625,9225719.601444999
COPEL  DISTRIBUICAO S/A,Baa3,APP,22258.328825098226,8430325498.580385
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,PID,875803.1325322472,3937179801.4903502
JSL S.A,Ba5,678,2875337.676769529,6318358039.8425455
CEMIG DISTRIBUICAO S/A,Baa4,PDA,1.5973470590324724e-06,1172652382.054455
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,PEM,8.769421246208292,4500317.361375
ENERGISA SA,Baa3,CPI,8591.024276010208,54355074.65991
VLI MULTIMODAL S.A.,Baa4,IRF,6503139.943586451,168954523.486945
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,652,336246.15345290664,2496049914.0221553
JSL S.A,Ba5,KOP,266162.6251489487,733760002.8074601
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,ID2,19269.83471007376,3488179932.21023
ENGIE BRASIL ENERGIA SA,Baa1,PID,8198.318129628158,3937179801.4903502
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,ID2,412099.4620022972,3488179932.21023
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,KCP,681585.18694163,3424900701.5180855
ENERGISA SA,Baa3,652,9450.126703611179,2496049914.0221553
CEMIG DISTRIBUICAO S/A,Baa4,348,3.2648747729524532e-06,9225719.601444999
MRS LOGISTICA S/A,Baa3,KCP,453059.8510364263,3424900701.5180855
MRS LOGISTICA S/A,Baa3,678,1163358.173020239,6318358039.8425455
ENERGISA SA,Baa3,PAL,169.99531811725348,18720368.46087
ENGIE BRASIL ENERGIA SA,Baa1,RFA,16243.80327738679,6165720738.95119
ENERGISA SA,Baa3,KCP,191761.1806954457,3424900701.5180855
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,678,61587772.861322515,6318358039.8425455
ENERGISA SA,Baa3,678,436510.9147209528,6318358039.8425455
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,348,13988.718616563132,9225719.601444999
JSL S.A,Ba5,ID2,7834.074909574084,3488179932.21023
JSL S.A,Ba5,134,2938990.0503240596,7003331463.740895
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,846,23057138.086931445,3130395619.174485
CEMIG DISTRIBUICAO S/A,Baa4,APO,3.0265887144196314e-06,2279627646.384785
ENGIE BRASIL ENERGIA SA,Baa1,678,190256.4243971462,6318358039.8425455
